wetland,station,max_depth_m,mean_depth_m,median_depth_m,min_depth_m,dur_day,n_events
BB,SC-A,0.410834476691786,-0.27053672977520477,-0.330212463943384,-0.511270839,359,1
BB,SC-B,0.431523642623682,-0.21897455728799384,-0.275348463943384,-0.456406839,356,3
BB,SC-C,0.564097186423915,-0.06389016474921907,-0.116852463943384,-0.297910839,333,3
BB,SC-D,0.694277938252687,0.08131717911442182,0.0311423961617227,-0.145510839,307,3
BB,SC-E,0.827278649938768,0.19724869317982227,0.148267381651713,-0.0181206949871054,277,3
DB,SC-A,0.648251202084335,-0.039556720039138744,0.0326463170627853,-0.557454272291667,297,3
DB,SC-B,0.73032043776381,0.060083220857333045,0.122397377628433,-0.456870272291667,282,2
DB,SC-C,0.818485673443285,0.1655246521993019,0.218118572617642,-0.350190272291667,239,6
DB,SC-D,1.13517532101592,0.5044109251241038,0.548395213012263,-0.00881427229166709,138,3
DB,SC-E,1.38473945209883,0.7486358519116717,0.782110152316559,0.210655158505667,21,4
DK,SC-A,0.554738587009408,-0.0571804611822347,-0.116167005402778,-0.412453024652778,316,3
DK,SC-B,0.870604915281133,0.23881336597024028,0.170848395611414,-0.125941024652778,220,2
DK,SC-C,1.23622543481683,0.5522212866161799,0.501288251164227,0.113409582221547,134,4
DK,SC-D,1.44701783378503,0.7166196826257889,0.685657986951496,0.183069253980465,58,8
DK,SC-E,1.55030818288221,0.7793152791341971,0.770554001005956,0.162868466769518,48,10
ND,SC-A,0.455791643397021,-0.1982732922621518,-0.200551431458334,-0.612055719729167,354,1
ND,SC-B,0.691142670621496,0.03145988238823416,0.0231021491274825,-0.386503719729167,246,2
ND,SC-C,0.985031167668809,0.31942341189677453,0.316095800429497,-0.103039719729167,179,3
ND,SC-D,1.26056209244393,0.586140713410005,0.599973438520981,0.0856256965535769,123,3
ND,SC-E,1.62119874300082,0.9378557779862169,0.965567175611384,0.314206094014972,0,0
QB,SC-A,0.244004727538328,-0.18401441228479476,-0.141910691694445,-0.478755542840278,365,0
QB,SC-B,0.458669967596521,0.032690629706634854,0.0676100544836067,-0.250155542840278,349,4
QB,SC-C,0.685381200117853,0.2538251232415597,0.270450910492004,-0.00936354284027785,197,4
QB,SC-D,0.753596432639185,0.29767049267326234,0.31906355078234,-0.00805671235217953,173,3
QB,SC-E,1.0982996171931,0.6164355171137754,0.64046798462855,0.254959143241549,6,3
TB,SC-A,0.679200017958321,0.12225782384752056,0.133187247285271,-0.267329726890983,275,3
TB,SC-B,0.754524836847736,0.20063495821280755,0.209748671409036,-0.194177726890983,201,4
TB,SC-C,0.903955576225187,0.3568204825062325,0.357903574858102,-0.047873726890983,161,2
TB,SC-D,1.08359318452273,0.544120895081854,0.540430468388094,0.114110157202406,118,3
TB,SC-E,1.21719988984869,0.6871049091976641,0.687575213729833,0.184748409536507,9,2
